org_id,code,name,path
14411,TUZESSB,TUM CST - Student Advising and Information Services,TUM/Central Service Institutions/TUM Center for Study and Teaching/TUM CST - Student Advising and Information Services
14432,TUZESIM,TUM CST - Admissions and Enrollment Office,TUM/Central Service Institutions/TUM Center for Study and Teaching/TUM CST - Admissions and Enrollment Office
14442,TUZESPR,TUM CST - Graduation Office and Academic Records,TUM/Central Service Institutions/TUM Center for Study and Teaching/TUM CST - Graduation Office and Academic Records
14443,TUZESBS,TUM CST - Fees and Scholarships,TUM/Central Service Institutions/TUM Center for Study and Teaching/TUM CST - Fees and Scholarships
14444,TUZESOI,TUM CST - Planning,TUM/Central Service Institutions/TUM Center for Study and Teaching/TUM CST - Planning
14577,TUMAM02,Chair of Numerical Analysis (Prof. Wohlmuth),"TUM/Schools/Computation, Information and Technology/Departments/Mathematics/Numerical Analysis (Prof. Wohlmuth)"
14583,TUMAM07,Chair of Global Analysis (Prof. Friesecke),"TUM/Schools/Computation, Information and Technology/Departments/Mathematics/Global Analysis (Prof. Friesecke)"
14596,TUMAM08,Chair of Advanced Mathematics and Analytical Mechanics (N.N.),"TUM/Schools/Computation, Information and Technology/Departments/Mathematics/Advanced Mathematics and Analytical Mechanics (N.N.)"
14597,TUMAM05,Chair of Mathematical physics (Prof. Wolf),"TUM/Schools/Computation, Information and Technology/Departments/Mathematics/Mathematical physics (Prof. Wolf)"
14598,TUMAM10,Chair of Geometry and Visualization (Prof. Richter-Gebert),"TUM/Schools/Computation, Information and Technology/Departments/Mathematics/Geometry and Visualization (Prof. Richter-Gebert)"
14599,TUMAM09,Chair of Geometry (N.N.),"TUM/Schools/Computation, Information and Technology/Departments/Mathematics/Geometry (N.N.)"
14600,TUMAM04,Chair of Mathematical Statistics (Prof. Drton),"TUM/Schools/Computation, Information and Technology/Departments/Mathematics/Mathematical Statistics (Prof. Drton)"
14602,TUMAM01,Chair of Mathematical Optimization (Prof. Ulbrich),"TUM/Schools/Computation, Information and Technology/Departments/Mathematics/Mathematical Optimization (Prof. Ulbrich)"
14603,TUMAM12,Chair of Mathematical Modelling of Biological Systems (Prof. Theis),"TUM/Schools/Computation, Information and Technology/Departments/Mathematics/Mathematical Modelling of Biological Systems (Prof. Theis)"
14604,TUMAM03,Chair of Scientific Computing (Prof. Bornemann),"TUM/Schools/Computation, Information and Technology/Departments/Mathematics/Scientific Computing (Prof. Bornemann)"
14607,TUMAM11,Chair of Algorithmic Algebra (Prof. Kemper),"TUM/Schools/Computation, Information and Technology/Departments/Mathematics/Algorithmic Algebra (Prof. Kemper)"
14610,TUMAF06,Associate Professorship of Scientific Computing and Uncertainty Quantification (Prof. Ullmann),"TUM/Schools/Computation, Information and Technology/Departments/Mathematics/Scientific Computing and Uncertainty Quantification (Prof. Ullmann)"
14612,TUMAF07,Associate Professorship of Discrete Mathematics (Prof. Weltge),"TUM/Schools/Computation, Information and Technology/Departments/Mathematics/Discrete Mathematics (Prof. Weltge)"
14614,TUMAF20,Assistant Professorship of Mathematical Finance (Prof. Knochenhauer),"TUM/Schools/Computation, Information and Technology/Departments/Mathematics/Mathematical Finance (Prof. Knochenhauer)"
14617,TUMAF01,Associate Professorship of Applied Mathematical Statistics (Prof. Czado em.),"TUM/Schools/Computation, Information and Technology/Departments/Mathematics/Applied Mathematical Statistics (Prof. Czado em.)"
14632,TUCHSDK,Dean of Studies,TUM/Academic department/Former TUM Department of Chemistry/Dean of Studies
14635,TUCHWA0,Institute for Water Chemistry,TUM/Schools/Natural Sciences/Water Chemistry
14684,TUCHAC6,Chair of Inorganic Chemistry with Focus on New Materials (Prof. Fässler),TUM/Schools/Natural Sciences/Departments/Chemistry/Inorganic Chemistry with Focus on New Materials (Prof. Fässler)
14692,TUCHAC2,Former Chair of Construction Chemicals (Prof. Plank),TUM/Schools/Natural Sciences/Departments/Chemistry/Construction Chemicals (Prof. Plank)
14706,TUCHWA1,Chair of Analytical Chemistry and Water Chemistry (Prof. Elsner),TUM/Schools/Natural Sciences/Departments/Chemistry/Analytical Chemistry and Water Chemistry (Prof. Elsner)
14711,TUCHOC1,Chair of Organic Chemistry 1 (Prof. Bach),TUM/Schools/Natural Sciences/Departments/Chemistry/Organic Chemistry 1 (Prof. Bach)
14712,TUCHOC2,Chair of Organic Chemistry II (Prof. Sieber),TUM/Schools/Natural Sciences/Departments/Bioscience/Organic Chemistry II (Prof. Sieber)
14713,TUCHOC5,Chair of Biotechnology (Prof. Buchner),TUM/Schools/Natural Sciences/Departments/Bioscience/Biotechnology (Prof. Buchner)
14714,TUCHOC3,Chair of Biochemistry (Prof. Groll),TUM/Schools/Natural Sciences/Departments/Bioscience/Biochemistry (Prof. Groll)
14715,TUCHOC4,Chair of Biomolecular NMR-Spectroscopy (Prof. Sattler),TUM/Schools/Natural Sciences/Departments/Bioscience/Biomolecular NMR-Spectroscopy (Prof. Sattler)
14722,TUCHPC1,Chair of Physical Chemistry (Prof. Heiz),TUM/Schools/Natural Sciences/Departments/Chemistry/Physical Chemistry (Prof. Heiz)
14724,TUCHTH1,Chair of Theoretical Chemistry (Prof. em. Domcke),TUM/Academic department/Former TUM Department of Chemistry/Chemistry Department/Theoretical Chemistry (Prof. em. Domcke)
14733,TUCHTC1,Chair of Chemical Technology I (Prof. Hinrichsen),TUM/Schools/Natural Sciences/Departments/Chemistry/Chemical Technology I (Prof. Hinrichsen)
14734,TUCHTC2,Chair of Chemical Technology II (N.N.),TUM/Schools/Natural Sciences/Departments/Chemistry/Chemical Technology II (N.N.)
14807,TUWIB04,Chair of Management Accounting (Prof. Blaschke komm.),TUM/Schools/Management/Departments/Finance and Accounting/Management Accounting (Prof. Blaschke komm.)
14808,TUWIB06,Chair of Financial Management and Capital Markets (Prof. Kaserer),TUM/Schools/Management/Departments/Finance and Accounting/Financial Management and Capital Markets (Prof. Kaserer)
14810,TUWIB05,Chair of Marketing (N.N.),"TUM/Schools/Management/Departments/Marketing, Strategy and Leadership/Marketing (N.N.)"
14811,TUWIB01,Chair of Technology and Innovation Management  (founded by Dr. Theo Schoeller) (Prof. Henkel),TUM/Schools/Management/Departments/Innovation and Entrepreneurship/Technology and Innovation Management  (founded by Dr. Theo Schoeller) (Prof. Henkel)
14812,TUWIB09,Chair of Operations Management (Prof. Kolisch),TUM/Schools/Management/Departments/Operations and Technology/Operations Management (Prof. Kolisch)
14813,TUWIB10,"Chair of Business Administration - Corporate Management, Logistics und Manufacturing (N.N.)","TUM/Schools/Management/Departments/Operations and Technology/Business Administration - Corporate Management, Logistics und Manufacturing (N.N.)"
14814,TUWIB11,Chair of Forest Economics (N.N.),TUM/Schools/Management/Departments/Economics and Policy/Forest Economics (N.N.)
14815,TUWZP3R,Chair of Agricultural Production and Resource Economics (Prof. Sauer),TUM/Schools/Management/Departments/Economics and Policy/Agricultural Production and Resource Economics (Prof. Sauer)
14816,TUWIB08,Chair of Marketing and Consumer Research (Prof. Roosen),"TUM/Schools/Management/Departments/Marketing, Strategy and Leadership/Marketing and Consumer Research (Prof. Roosen)"
14817,TUWIB14,Associate Professorship of Corporate Sustainability - Brewery and Food Industry Management (Prof. Belz),TUM/Schools/Management/Departments/Innovation and Entrepreneurship/Corporate Sustainability - Brewery and Food Industry Management (Prof. Belz)
14823,TUWIR01,Chair of Corporate and Intellectual Property Law (Prof. Ann),TUM/Schools/Management/Departments/Innovation and Entrepreneurship/Corporate and Intellectual Property Law (Prof. Ann)
14825,TUWIS06,Chair of Forest and Environmental Policies (Prof. Roosen komm.),TUM/Schools/Management/Departments/Economics and Policy/Forest and Environmental Policies (Prof. Roosen komm.)
14827,TUEDS01,Associate Professorship of History of Technology (Prof. Novick),"TUM/Schools/Social Sciences and Technology/Departments/Science, Technology and Society/History of Technology (Prof. Novick)"
14828,TUEDS02,Chair of Vocational Education (Prof. Wittmann),TUM/Schools/Social Sciences and Technology/Departments/Educational Sciences/Vocational Education (Prof. Wittmann)
14830,TUWIS04,Chair of Psychology (Prof. Kehr),"TUM/Schools/Management/Departments/Marketing, Strategy and Leadership/Psychology (Prof. Kehr)"
14832,TUEDS08,Associate Professorship of Formal and informal learning (Prof. Lewalter),TUM/Schools/Social Sciences and Technology/Departments/Educational Sciences/Formal and informal learning (Prof. Lewalter)
14874,TUCHFV0,IT Operation 5400 (NAT) - IT Office (NAT),TUM/Schools/Natural Sciences/School Office/IT Office (NAT)/IT Operation 5400 (NAT)
14881,TUS6OTS,School Office of the TUM School of Management,TUM/Schools/Management/School Office
14915,TULRFSG,Research Institute Satellite Geodesy (BE),TUM/Schools/Engineering and Design/Research Institute Satellite Geodesy (BE)
14927,TUBVFWW,Hydraulic Engineering and Water Management,TUM/Schools/Engineering and Design/Departments/Civil and Environmental Engineering/Hydraulic Engineering and Water Management
14928,TUBVMPA,MPA BAU - Testing Institute for Construction Engineering,TUM/Schools/Engineering and Design/Departments/Civil and Environmental Engineering/MPA BAU - Testing Institute for Construction Engineering
14930,TUBVLKI,Laboratory for the Construction Engineering,TUM/Schools/Engineering and Design/Laboratory for the Construction Engineering
14934,TUBVSTA,Chair of Structural Analysis and Dynamics (Prof. Wüchner),TUM/Schools/Engineering and Design/Departments/Civil and Environmental Engineering/Structural Analysis and Dynamics (Prof. Wüchner)
14935,TUBVBMA,Chair of Structural Mechanics (Prof. Müller),TUM/Schools/Engineering and Design/Departments/Civil and Environmental Engineering/Structural Mechanics (Prof. Müller)
14937,TUBVHYD,Associate Professorship of Hydromechanics (Prof. Manhart),TUM/Schools/Engineering and Design/Departments/Civil and Environmental Engineering/Hydromechanics (Prof. Manhart)
14938,TUBVCME,Associate Professorship of Computational Mechanics (Prof. Duddeck),TUM/Schools/Engineering and Design/Departments/Engineering Physics and Computation/Computational Mechanics (Prof. Duddeck)
14943,TUBVBPH,Chair of Buildings Physics (Prof. Sedlbauer),TUM/Schools/Engineering and Design/Departments/Civil and Environmental Engineering/Buildings Physics (Prof. Sedlbauer)
14944,TUBVBWP,Chair of Materials Science and Testing (Prof. Gehlen),TUM/Schools/Engineering and Design/Departments/Materials Engineering/Materials Science and Testing (Prof. Gehlen)
14945,TUBVHBB,Chair of Timber Engineering and Building Construction (Prof. Fink),TUM/Schools/Engineering and Design/Departments/Civil and Environmental Engineering/Timber Engineering and Building Construction (Prof. Fink)
14946,TUBVMBA,Chair of Concrete and Masonry Structures (Prof. Fischer),TUM/Schools/Engineering and Design/Departments/Civil and Environmental Engineering/Concrete and Masonry Structures (Prof. Fischer)
14947,TUBVMET,Chair of Metal Structures (Prof. Mensinger),TUM/Schools/Engineering and Design/Departments/Civil and Environmental Engineering/Metal Structures (Prof. Mensinger)
14989,TUBVGBA,"Chair of Soil Mechanics and Foundation Engineering, Rock Mechanics and Tunneling (Prof. Cudmani)","TUM/Schools/Engineering and Design/Departments/Civil and Environmental Engineering/Soil Mechanics and Foundation Engineering, Rock Mechanics and Tunneling (Prof. Cudmani)"
14990,TUBVBPM,Chair of Construction Management (Prof. Nübel),TUM/Schools/Engineering and Design/Departments/Civil and Environmental Engineering/Construction Management (Prof. Nübel)
14991,TUBVGEO,Chair of Engineering Geology (Prof. Thuro),TUM/Schools/Engineering and Design/Departments/Civil and Environmental Engineering/Engineering Geology (Prof. Thuro)
15045,TUBVWBW,Chair of Hydraulic Engineering (Prof. Rüther),TUM/Schools/Engineering and Design/Departments/Civil and Environmental Engineering/Hydraulic Engineering (Prof. Rüther)
15047,TUBVHFM,Chair of Hydrology and River Basin Management (Prof. Disse ),TUM/Schools/Engineering and Design/Departments/Civil and Environmental Engineering/Hydrology and River Basin Management (Prof. Disse )
15074,TUBVWGA,Chair of Urban Water Systems Engineering (Prof. Drewes),TUM/Schools/Engineering and Design/Departments/Civil and Environmental Engineering/Urban Water Systems Engineering (Prof. Drewes)
15091,TUBVLVW,"Chair and Institute of Road, Railway and Airfield Construction (Prof. Freudenstein)","TUM/Schools/Engineering and Design/Departments/Civil and Environmental Engineering/Road, Railway and Airfield Construction (Prof. Freudenstein)"
15092,TUBVVTK,Chair of Traffic Engineering and Control (Prof. Bogenberger),TUM/Schools/Engineering and Design/Departments/Mobility Systems Engineering/Traffic Engineering and Control (Prof. Bogenberger)
15094,TUBVSVP,Chair of Urban Structure and Transport Planning (Prof. Wulfhorst),TUM/Schools/Engineering and Design/Departments/Mobility Systems Engineering/Urban Structure and Transport Planning (Prof. Wulfhorst)
15098,TULRGDS,Chair of Engineering Geodesy (Prof. Holst),TUM/Schools/Engineering and Design/Departments/Aerospace and Geodesy/Engineering Geodesy (Prof. Holst)
15099,TULRLEW,Chair of Land Management (Prof. de Vries),TUM/Schools/Engineering and Design/Departments/Aerospace and Geodesy/Land Management (Prof. de Vries)
15100,TULRGIS,Chair of Geoinformatics (Prof.Kolbe),TUM/Schools/Engineering and Design/Departments/Aerospace and Geodesy/Geoinformatics (Prof.Kolbe)
15101,TULRAPG,Chair of Astronomical and Physical Geodesy (Prof. Pail),TUM/Schools/Engineering and Design/Departments/Aerospace and Geodesy/Astronomical and Physical Geodesy (Prof. Pail)
15102,TULRSGD,Associate Professorship of Satellite Geodesy (Prof. Hugentobler),TUM/Schools/Engineering and Design/Departments/Aerospace and Geodesy/Satellite Geodesy (Prof. Hugentobler)
15103,TULRLFK,Chair of Cartography and Visual Analytics (Prof. Meng),TUM/Schools/Engineering and Design/Departments/Aerospace and Geodesy/Cartography and Visual Analytics (Prof. Meng)
15104,TULRLMF,Chair of Remote Sensing Technology (Prof. Busam komm.),TUM/Schools/Engineering and Design/Departments/Aerospace and Geodesy/Remote Sensing Technology (Prof. Busam komm.)
15105,TULRFPF,Associate Professorship of Photogrammetry and Remote Sensing (Prof. Busam),TUM/Schools/Engineering and Design/Departments/Aerospace and Geodesy/Photogrammetry and Remote Sensing (Prof. Busam)
15135,TUARZ03,Design Factory,TUM/Schools/Engineering and Design/Departments/Architecture/Design Factory
15139,TUARL01,Chair of Architectural Design and Conception (Prof. Graff),TUM/Schools/Engineering and Design/Departments/Architecture/Architectural Design and Conception (Prof. Graff)
15140,TUARL02,Associate Professorship of Art in Architecture (Prof. Erlund),TUM/Schools/Engineering and Design/Departments/Architecture/Art in Architecture (Prof. Erlund)
15142,TUARL04,"Associate Professorship of Architectural Design, Rebuilding and Conservation (Prof. Hild)","TUM/Schools/Engineering and Design/Departments/Architecture/Architectural Design, Rebuilding and Conservation (Prof. Hild)"
15143,TUARL06,Chair of Architectural Design and Construction (Prof. Nagler),TUM/Schools/Engineering and Design/Departments/Architecture/Architectural Design and Construction (Prof. Nagler)
15187,TUARL05,Chair of Architectural Informatics (Prof. Petzold),TUM/Schools/Engineering and Design/Departments/Architecture/Architectural Informatics (Prof. Petzold)
15200,TUARL07,"Chair of Building History, Building Archaeology and Conservation (Prof. von Kienlin)","TUM/Schools/Engineering and Design/Departments/Architecture/Building History, Building Archaeology and Conservation (Prof. von Kienlin)"
15202,TUARZ02,Architekturmuseum  (Prof. Lepik),TUM/Schools/Engineering and Design/Departments/Architecture/Architekturmuseum  (Prof. Lepik)
15203,TUARL09,"Chair of Restoration-Conservation, Art Technology and Conservation Science (Prof. Danzl)","TUM/Schools/Engineering and Design/Departments/Architecture/Restoration-Conservation, Art Technology and Conservation Science (Prof. Danzl)"
15205,TUARL08,"Chair of Theory and History of Architecture, Art and Design (Prof. Erben)","TUM/Schools/Engineering and Design/Departments/Architecture/Theory and History of Architecture, Art and Design (Prof. Erben)"
15213,TUARL12,Associate Professorship of Architecture of Urban Density (Prof. Kaestle),TUM/Schools/Engineering and Design/Departments/Architecture/Architecture of Urban Density (Prof. Kaestle)
15216,TUARL15,Chair of Building Technology and Climate Responsive Design (Prof. Auer),TUM/Schools/Engineering and Design/Departments/Architecture/Building Technology and Climate Responsive Design (Prof. Auer)
15219,TUARL24,Chair of Landscape Architecture and Public Space (Prof. Keller),TUM/Schools/Engineering and Design/Departments/Architecture/Landscape Architecture and Public Space (Prof. Keller)
15220,TUARL23,Chair of Landscape Architecture and Transformation (Prof. Weilacher),TUM/Schools/Engineering and Design/Departments/Architecture/Landscape Architecture and Transformation (Prof. Weilacher)
15221,TUARL18,Associate Professorship of Urban Design (Prof. Boucsein),TUM/Schools/Engineering and Design/Departments/Architecture/Urban Design (Prof. Boucsein)
15222,TUARL19,Chair of Urban Design and Housing (Prof. Bates),TUM/Schools/Engineering and Design/Departments/Architecture/Urban Design and Housing (Prof. Bates)
15223,TUARL20,Chair of Sustainable Urbanism (Prof. Michaeli),TUM/Schools/Engineering and Design/Departments/Architecture/Sustainable Urbanism (Prof. Michaeli)
15234,TUARL22,Chair of Spatial Planning and Development (Prof. Howe),TUM/Schools/Engineering and Design/Departments/Architecture/Spatial Planning and Development (Prof. Howe)
15236,TUARL25,Associate Professorship of Landscape Architecture and Regional Open Space  (Prof. Schöbel-Rutschmann),TUM/Schools/Engineering and Design/Departments/Architecture/Landscape Architecture and Regional Open Space  (Prof. Schöbel-Rutschmann)
15252,TUMWFVW,Central Services Mechanical Engineering,TUM/Academic department/Former TUM Department of Mechanical Engineering/Central Services
15268,TUMWAIS,Chair of Automation and Information Systems (Prof. Vogel-Heuser),TUM/Schools/Engineering and Design/Departments/Mechanical Engineering/Automation and Information Systems (Prof. Vogel-Heuser)
15270,TUMWMEM,Chair of Micro Technology and Medical Device Technology (Prof. Lüth),TUM/Schools/Engineering and Design/Departments/Mechanical Engineering/Micro Technology and Medical Device Technology (Prof. Lüth)
15271,TUMWLAM,Chair of Applied Mechanics (Prof. Rixen),TUM/Schools/Engineering and Design/Departments/Mechanical Engineering/Applied Mechanics (Prof. Rixen)
15272,TUMWRTK,Chair of Automatic Control (Prof. Lohmann),TUM/Schools/Engineering and Design/Departments/Engineering Physics and Computation/Automatic Control (Prof. Lohmann)
15276,TUMWWKM,Chair of Materials Science (Prof. Torgersen),TUM/Schools/Engineering and Design/Departments/Materials Engineering/Materials Science (Prof. Torgersen)
15277,TUMWLNM,Chair of Computational Mechanics (Prof. Wall),TUM/Schools/Engineering and Design/Departments/Engineering Physics and Computation/Computational Mechanics (Prof. Wall)
15278,TUMWUTG,Chair of Metal Forming and Casting (Prof. Volk),TUM/Schools/Engineering and Design/Departments/Mechanical Engineering/Metal Forming and Casting (Prof. Volk)
15279,TUMWLMT,Chair of Medical Materials and Implants (Prof. Mela),TUM/Schools/Engineering and Design/Departments/Mechanical Engineering/Medical Materials and Implants (Prof. Mela)
15284,TUMWLFE,Chair of Ergonomics (Prof. Bengler),TUM/Schools/Engineering and Design/Departments/Mechanical Engineering/Ergonomics (Prof. Bengler)
15285,TUMWIWB,Chair of Machine Tools and Manufacturing Technology (Prof. Zäh),TUM/Schools/Engineering and Design/Departments/Mechanical Engineering/Machine Tools and Manufacturing Technology (Prof. Zäh)
15286,TUMWBWM,Chair of Sustainable Production (Prof. Reuter),TUM/Schools/Engineering and Design/Departments/Mechanical Engineering/Sustainable Production (Prof. Reuter)
15294,TUMWBVT,Chair of Biochemical Engineering (N.N.),TUM/Schools/Engineering and Design/Departments/Energy and Process Engineering/Biochemical Engineering (N.N.)
15298,TUMWFZG,Chair of Machine Elements (Prof. Stahl),TUM/Schools/Engineering and Design/Departments/Mechanical Engineering/Machine Elements (Prof. Stahl)
15299,TUMWFML,"Chair of Chair of Materials Handling, Material Flow, Logistics (Prof. Fottner)","TUM/Schools/Engineering and Design/Departments/Mechanical Engineering/Chair of Materials Handling, Material Flow, Logistics (Prof. Fottner)"
15300,TUMWFTM,Chair of Automotive Technology (Prof. Lienkamp),TUM/Schools/Engineering and Design/Departments/Mobility Systems Engineering/Automotive Technology (Prof. Lienkamp)
15304,TULRLLS,Chair of Aircraft Design (Prof. Hornung),TUM/Schools/Engineering and Design/Departments/Aerospace and Geodesy/Aircraft Design (Prof. Hornung)
15305,TULRFSD,Chair of Flight System Dynamics (Prof. Holzapfel),TUM/Schools/Engineering and Design/Departments/Aerospace and Geodesy/Flight System Dynamics (Prof. Holzapfel)
15307,TUMWAER,Chair of Aerodynamics and Fluid mechanics (Prof. Adams),TUM/Schools/Engineering and Design/Departments/Engineering Physics and Computation/Aerodynamics and Fluid mechanics (Prof. Adams)
15308,TULRLTF,Chair of Turbomachinery and Flight Propulsion (Prof. Gümmer),TUM/Schools/Engineering and Design/Departments/Aerospace and Geodesy/Turbomachinery and Flight Propulsion (Prof. Gümmer)
15309,TULRLRT,Chair of Astrodynamics (Prof. Romano),TUM/Schools/Engineering and Design/Departments/Aerospace and Geodesy/Astrodynamics (Prof. Romano)
15315,TUMWLTD,Chair of Thermodynamics (Prof. Wen),TUM/Schools/Engineering and Design/Departments/Engineering Physics and Computation/Thermodynamics (Prof. Wen)
15316,TUMWLES,Chair of Energy Systems (Prof. Spliethoff),TUM/Schools/Engineering and Design/Departments/Energy and Process Engineering/Energy Systems (Prof. Spliethoff)
15318,TUMWLVK,Chair of Sustainable Mobile Drivetrains (Prof. Jaensch),TUM/Schools/Engineering and Design/Departments/Mobility Systems Engineering/Sustainable Mobile Drivetrains (Prof. Jaensch)
15319,TUMWNUK,Chair of Nuclear Technology (Prof. Macian-Juan),TUM/Schools/Engineering and Design/Departments/Energy and Process Engineering/Nuclear Technology (Prof. Macian-Juan)
15328,TUEIDEK,Dean's Office Dekanat EI,TUM/Academic department/Former TUM Department of Electrical and Computer Engineering/Department Administration/Dean's Office
15329,TUEISDK,Dean of Studies,TUM/Academic department/Former TUM Department of Electrical and Computer Engineering/Dean of Studies
15330,TUEISTD,Student Office EI,TUM/Academic department/Former TUM Department of Electrical and Computer Engineering/Department Administration/Student Office EI
15331,TUEIFSB,Department Administration Former TUM Department of Electrical and Computer Engineering,TUM/Academic department/Former TUM Department of Electrical and Computer Engineering/Department Administration
15355,TUEIEWT,Associate Professorship of Energy Conversion Technology (Prof. Herzog),TUM/Schools/Engineering and Design/Departments/Energy and Process Engineering/Energy Conversion Technology (Prof. Herzog)
15356,TUEIHSA,Associate Professorship of High Voltage Engineering and Switchgear Technology (Prof. Jossen komm.)),TUM/Schools/Engineering and Design/Departments/Energy and Process Engineering/High Voltage Engineering and Switchgear Technology (Prof. Jossen komm.))
15357,TUEIEAL,Chair of High-Power Converter Systems (Prof. Heldwein),TUM/Schools/Engineering and Design/Departments/Energy and Process Engineering/High-Power Converter Systems (Prof. Heldwein)
15358,TUEIEWK,Associate Professorship of Energy Management Technologies (Prof. Goebel),TUM/Schools/Engineering and Design/Departments/Energy and Process Engineering/Energy Management Technologies (Prof. Goebel)
15360,TUEIEEN,Chair of Electric Power Transmission and Distribution (Prof. Tonkoski),TUM/Schools/Engineering and Design/Departments/Energy and Process Engineering/Electric Power Transmission and Distribution (Prof. Tonkoski)
15364,TUEILNT,Chair of Communications Engineering (Prof. Kramer),"TUM/Schools/Computation, Information and Technology/Departments/Computer Engineering/Communications Engineering (Prof. Kramer)"
15365,TUEILDV,Chair of Data Processing (Prof. Diepold),"TUM/Schools/Computation, Information and Technology/Departments/Computer Engineering/Data Processing (Prof. Diepold)"
15366,TUEIRCS,Chair of Real-Time Computer Systems (Prof. Wille komm.),"TUM/Schools/Computation, Information and Technology/Departments/Computer Engineering/Real-Time Computer Systems (Prof. Wille komm.)"
15367,TUEILKN,Chair of Communication Networks (Prof. Kellerer),"TUM/Schools/Computation, Information and Technology/Departments/Computer Engineering/Communication Networks (Prof. Kellerer)"
15368,TUEIMMK,Chair of Human-Machine Communication (Prof. Hemmert komm.),"TUM/Schools/Computation, Information and Technology/Departments/Computer Engineering/Human-Machine Communication (Prof. Hemmert komm.)"
15369,TULRNAV,Chair of Communication and Navigation (N.N.),TUM/Schools/Engineering and Design/Departments/Aerospace and Geodesy/Communication and Navigation (N.N.)
15370,TUEILMT,Chair of Media Technology (Prof. Steinbach),"TUM/Schools/Computation, Information and Technology/Departments/Computer Engineering/Media Technology (Prof. Steinbach)"
15371,TUEILUT,Associate Professorship of Line Transmission Technology (Prof. Hanik),"TUM/Schools/Computation, Information and Technology/Departments/Computer Engineering/Line Transmission Technology (Prof. Hanik)"
15376,TUEITEP,Associate Professorship of Microsensors and Actuators (Prof. Schrag),"TUM/Schools/Computation, Information and Technology/Departments/Electrical Engineering/Microsensors and Actuators (Prof. Schrag)"
15379,TUEIHLT,Chair of Semiconductor Technology (Prof. Belkin),"TUM/Schools/Computation, Information and Technology/Departments/Electrical Engineering/Semiconductor Technology (Prof. Belkin)"
15380,TUEIMMS,Associate Professorship of Micro-Mechatronical Systems (N.N.),TUM/Academic department/Former TUM Department of Electrical and Computer Engineering/Chairs and Professorships/Micro-Mechatronical Systems (N.N.)
15382,TUEIHES,Associate Professorship of Hybrid Electronic Systems (Prof. Kreupl),"TUM/Schools/Computation, Information and Technology/Departments/Electrical Engineering/Hybrid Electronic Systems (Prof. Kreupl)"
15384,TUEIBAI,Associate Professorship of Bio-inspired Information Processing (Prof. Hemmert),"TUM/Schools/Computation, Information and Technology/Departments/Computer Engineering/Bio-inspired Information Processing (Prof. Hemmert)"
